Epoch 0 | Train Loss: 3.763 | Train Acc: 11.624%
Epoch 1 | Train Loss: 2.970 | Train Acc: 26.688%
Epoch 2 | Train Loss: 2.380 | Train Acc: 37.652%
Epoch 3 | Train Loss: 2.041 | Train Acc: 45.042%
Epoch 4 | Train Loss: 1.810 | Train Acc: 50.550%
Epoch 5 | Train Loss: 1.619 | Train Acc: 55.324%
Epoch 6 | Train Loss: 1.475 | Train Acc: 58.488%
Epoch 7 | Train Loss: 1.347 | Train Acc: 61.762%
Epoch 8 | Train Loss: 1.233 | Train Acc: 64.724%
Epoch 9 | Train Loss: 1.133 | Train Acc: 67.430%
Epoch 10 | Train Loss: 1.046 | Train Acc: 69.566%
Epoch 11 | Train Loss: 0.964 | Train Acc: 71.506%
Epoch 12 | Train Loss: 0.894 | Train Acc: 73.486%
Epoch 13 | Train Loss: 0.825 | Train Acc: 75.556%
Epoch 14 | Train Loss: 0.766 | Train Acc: 76.994%
Epoch 15 | Train Loss: 0.711 | Train Acc: 78.622%
Epoch 16 | Train Loss: 0.650 | Train Acc: 80.376%
Epoch 17 | Train Loss: 0.613 | Train Acc: 81.438%
Epoch 18 | Train Loss: 0.580 | Train Acc: 82.282%
Epoch 19 | Train Loss: 0.535 | Train Acc: 83.672%
Epoch 20 | Train Loss: 0.503 | Train Acc: 84.858%
Epoch 21 | Train Loss: 0.477 | Train Acc: 85.436%
Epoch 22 | Train Loss: 0.449 | Train Acc: 86.310%
Epoch 23 | Train Loss: 0.425 | Train Acc: 87.036%
Epoch 24 | Train Loss: 0.400 | Train Acc: 87.846%
Epoch 25 | Train Loss: 0.391 | Train Acc: 88.040%
Epoch 26 | Train Loss: 0.370 | Train Acc: 88.886%
Epoch 27 | Train Loss: 0.349 | Train Acc: 89.482%
Epoch 28 | Train Loss: 0.341 | Train Acc: 89.788%
Epoch 29 | Train Loss: 0.335 | Train Acc: 89.934%
Epoch 30 | Train Loss: 0.315 | Train Acc: 90.596%
Epoch 31 | Train Loss: 0.309 | Train Acc: 90.866%
Epoch 32 | Train Loss: 0.297 | Train Acc: 91.244%
Epoch 33 | Train Loss: 0.293 | Train Acc: 91.490%
Epoch 34 | Train Loss: 0.290 | Train Acc: 91.416%
Epoch 35 | Train Loss: 0.272 | Train Acc: 92.102%
Epoch 36 | Train Loss: 0.267 | Train Acc: 92.176%
Epoch 37 | Train Loss: 0.269 | Train Acc: 92.174%
Epoch 38 | Train Loss: 0.262 | Train Acc: 92.400%
Epoch 39 | Train Loss: 0.252 | Train Acc: 92.784%
Epoch 40 | Train Loss: 0.245 | Train Acc: 93.040%
Epoch 41 | Train Loss: 0.255 | Train Acc: 92.662%
Epoch 42 | Train Loss: 0.238 | Train Acc: 93.332%
Epoch 43 | Train Loss: 0.248 | Train Acc: 93.026%
Epoch 44 | Train Loss: 0.219 | Train Acc: 93.774%
Epoch 45 | Train Loss: 0.225 | Train Acc: 93.720%
Epoch 46 | Train Loss: 0.228 | Train Acc: 93.634%
Epoch 47 | Train Loss: 0.216 | Train Acc: 94.066%
Epoch 48 | Train Loss: 0.231 | Train Acc: 93.686%
Epoch 49 | Train Loss: 0.215 | Train Acc: 94.074%
Epoch 50 | Train Loss: 0.211 | Train Acc: 94.154%
Epoch 51 | Train Loss: 0.207 | Train Acc: 94.410%
Epoch 52 | Train Loss: 0.203 | Train Acc: 94.564%
Epoch 53 | Train Loss: 0.213 | Train Acc: 94.304%
Epoch 54 | Train Loss: 0.201 | Train Acc: 94.556%
Epoch 55 | Train Loss: 0.205 | Train Acc: 94.562%
Epoch 56 | Train Loss: 0.201 | Train Acc: 94.586%
Epoch 57 | Train Loss: 0.216 | Train Acc: 94.020%
Epoch 58 | Train Loss: 0.190 | Train Acc: 94.750%
Epoch 59 | Train Loss: 0.183 | Train Acc: 95.230%
Epoch 60 | Train Loss: 0.188 | Train Acc: 94.944%
Epoch 61 | Train Loss: 0.188 | Train Acc: 95.000%
Epoch 62 | Train Loss: 0.184 | Train Acc: 95.124%
Epoch 63 | Train Loss: 0.190 | Train Acc: 94.970%
Epoch 64 | Train Loss: 0.176 | Train Acc: 95.414%
Epoch 65 | Train Loss: 0.189 | Train Acc: 95.022%
Epoch 66 | Train Loss: 0.185 | Train Acc: 95.196%
Epoch 67 | Train Loss: 0.183 | Train Acc: 95.278%
Epoch 68 | Train Loss: 0.171 | Train Acc: 95.630%
Epoch 69 | Train Loss: 0.175 | Train Acc: 95.420%
Epoch 70 | Train Loss: 0.180 | Train Acc: 95.202%
Epoch 71 | Train Loss: 0.176 | Train Acc: 95.582%
Epoch 72 | Train Loss: 0.184 | Train Acc: 95.314%
Epoch 73 | Train Loss: 0.176 | Train Acc: 95.516%
Epoch 74 | Train Loss: 0.171 | Train Acc: 95.716%
Epoch 75 | Train Loss: 0.177 | Train Acc: 95.458%
Epoch 76 | Train Loss: 0.167 | Train Acc: 95.848%
Epoch 77 | Train Loss: 0.173 | Train Acc: 95.598%
Epoch 78 | Train Loss: 0.164 | Train Acc: 95.930%
Epoch 79 | Train Loss: 0.167 | Train Acc: 95.760%
Epoch 80 | Train Loss: 0.101 | Train Acc: 97.802%
Epoch 81 | Train Loss: 0.072 | Train Acc: 98.720%
Epoch 82 | Train Loss: 0.061 | Train Acc: 99.034%
Epoch 83 | Train Loss: 0.058 | Train Acc: 99.076%
Epoch 84 | Train Loss: 0.053 | Train Acc: 99.312%
Epoch 85 | Train Loss: 0.050 | Train Acc: 99.398%
Epoch 86 | Train Loss: 0.048 | Train Acc: 99.454%
Epoch 87 | Train Loss: 0.048 | Train Acc: 99.468%
Epoch 88 | Train Loss: 0.045 | Train Acc: 99.552%
Epoch 89 | Train Loss: 0.044 | Train Acc: 99.616%
Epoch 90 | Train Loss: 0.044 | Train Acc: 99.564%
Epoch 91 | Train Loss: 0.043 | Train Acc: 99.642%
Epoch 92 | Train Loss: 0.042 | Train Acc: 99.678%
Epoch 93 | Train Loss: 0.041 | Train Acc: 99.682%
Epoch 94 | Train Loss: 0.040 | Train Acc: 99.708%
Epoch 95 | Train Loss: 0.040 | Train Acc: 99.750%
Epoch 96 | Train Loss: 0.041 | Train Acc: 99.680%
Epoch 97 | Train Loss: 0.038 | Train Acc: 99.792%
Epoch 98 | Train Loss: 0.039 | Train Acc: 99.774%
Epoch 99 | Train Loss: 0.038 | Train Acc: 99.774%

🏆 Best Training Accuracy: 99.792%
